latitude,longitude,elevation_m,mean_dni,mean_dhi,mean_ghi_proxy,mean_temp
40.25,-105.66,3641,194.56552511415526,78.69235159817352,273.25787671232877,-2.135433789954338
40.21,-105.66,3590,202.99417808219178,78.46358447488585,281.4577625570776,-1.6023287671232878
40.17,-105.66,3654,202.34611872146118,82.45924657534246,284.80536529680364,-1.6050799086757992
40.13,-105.66,3430,194.92340182648402,83.27351598173516,278.19691780821915,-0.10893835616438348
40.09,-105.66,3178,207.4609589041096,78.9925799086758,286.4535388127854,1.0843264840182651
40.05,-105.66,3373,200.80182648401828,78.25125570776255,279.05308219178085,0.33157534246575326
40.01,-105.66,3570,197.99246575342465,74.60958904109589,272.60205479452054,-0.5057648401826486
39.97,-105.66,3446,204.68367579908676,79.8730593607306,284.5567351598173,0.2307534246575342
39.93,-105.66,3414,206.25034246575342,81.64668949771689,287.89703196347034,0.24373287671232882
40.25,-105.62,3650,193.08504566210047,80.37705479452055,273.462100456621,-1.7617351598173516
40.21,-105.62,3268,176.85616438356163,78.9,255.75616438356164,0.5881735159817352
40.17,-105.62,3444,179.23013698630137,82.62648401826485,261.85662100456625,-0.5253652968036531
40.13,-105.62,3446,200.66986301369863,84.06244292237443,284.7323059360731,-0.3336415525114154
40.09,-105.62,3490,199.99577625570777,79.01837899543379,279.0141552511416,-0.5876255707762562
40.05,-105.62,3657,206.29623287671234,76.8142694063927,283.110502283105,-1.4400114155251145
40.01,-105.62,3464,190.81826484018265,75.74406392694064,266.5623287671233,0.07517123287671233
39.97,-105.62,3192,196.67796803652968,80.47545662100457,277.15342465753423,1.6462785388127852
39.93,-105.62,3209,199.8972602739726,80.61883561643836,280.51609589041095,1.3787442922374429
40.25,-105.58,3040,200.3994292237443,78.87865296803653,279.27808219178087,2.302340182648402
40.21,-105.58,2858,188.23573059360731,80.8,269.0357305936073,3.5362899543378994
40.17,-105.58,3217,184.68778538812785,85.3958904109589,270.08367579908673,0.8202283105022832
40.13,-105.58,3068,182.01175799086758,82.25216894977169,264.2639269406393,2.3681849315068493
40.09,-105.58,3125,191.53641552511417,81.97009132420091,273.5065068493151,1.599132420091324
40.05,-105.58,3195,195.61461187214613,79.57134703196347,275.1859589041096,1.4368493150684936
40.01,-105.58,3018,202.2046803652968,79.07134703196347,281.2760273972603,2.517979452054794
39.97,-105.58,2884,196.96883561643835,79.41130136986301,276.38013698630135,3.4297831050228313
39.93,-105.58,2880,214.48675799086757,75.70422374429224,290.1909817351598,3.4232990867579907
40.25,-105.54,2662,204.03207762557076,75.5824200913242,279.61449771689496,4.603824200913242
40.21,-105.54,2594,203.2219178082192,75.90102739726028,279.1229452054795,4.916609589041096
40.17,-105.54,2774,202.56826484018265,80.60947488584475,283.1777397260274,3.738424657534246
40.13,-105.54,2932,217.14931506849314,76.11917808219178,293.2684931506849,3.2114041095890404
40.09,-105.54,2903,204.7549086757991,75.42488584474886,280.17979452054794,3.251826484018265
40.05,-105.54,2902,199.5269406392694,75.87888127853881,275.4058219178082,3.0582648401826487
40.01,-105.54,2726,203.72979452054796,76.34908675799086,280.0788812785388,4.4820091324200915
39.97,-105.54,2636,209.33367579908676,76.5230593607306,285.8567351598174,4.9234474885844755
39.93,-105.54,2724,215.42180365296804,77.08219178082192,292.50399543378995,4.037009132420091
40.25,-105.5,2691,204.7634703196347,76.44748858447488,281.2109589041096,4.38
40.21,-105.5,2550,216.15970319634704,73.68093607305936,289.8406392694064,5.257180365296804
40.17,-105.5,2676,216.23835616438356,72.08698630136986,288.3253424657534,4.292568493150685
40.13,-105.5,2676,211.73607305936073,77.78025114155251,289.51632420091323,4.789292237442922
40.09,-105.5,2728,214.95570776255707,73.18824200913242,288.1439497716895,4.108881278538813
40.05,-105.5,2709,216.6576484018265,73.40513698630137,290.06278538812785,4.373070776255707
40.01,-105.5,2598,211.2746575342466,73.90171232876712,285.1763698630137,5.34502283105023
39.97,-105.5,2581,206.44143835616438,75.575,282.0164383561644,5.58791095890411
39.93,-105.5,2614,212.36175799086757,76.17488584474886,288.5366438356164,5.346301369863014
40.25,-105.46,2471,213.45833333333334,73.09703196347031,286.55536529680364,5.314714611872146
40.21,-105.46,2490,207.5357305936073,73.55901826484018,281.0947488584475,5.651529680365297
40.17,-105.46,2484,213.63424657534247,72.08504566210046,285.7192922374429,5.295273972602741
40.13,-105.46,2577,215.92625570776255,73.0123287671233,288.93858447488583,4.702614155251141
40.09,-105.46,2648,216.30502283105022,71.15913242009132,287.46415525114156,4.595730593607305
40.05,-105.46,2552,210.68093607305937,74.15353881278538,284.83447488584477,5.502066210045662
40.01,-105.46,2488,212.49954337899544,77.37271689497717,289.87226027397264,5.801449771689498
39.97,-105.46,2575,218.20148401826484,74.25616438356164,292.4576484018265,5.418527397260275
39.93,-105.46,2566,216.126598173516,74.9939497716895,291.1205479452055,5.466986301369864
40.25,-105.42,2400,211.56883561643835,72.5730593607306,284.14189497716893,5.677716894977168
